;item_sanitizado;contagem_itens;orgaos_unicos_mp;orgaos_unicos_geral;categoria_cnj;categoria_mp;flag;PL;status
219;indenizacao de transporte;1323;1;3;NA;NA;0;;
220;13substituicao;1295;0;1;NA;NA;0;;
221;servico extraordinario;1288;1;1;NA;NA;0;;
222;outras remuneracoes retroativastemporarias;1263;1;1;NA;NA;0;;
223;outras verbas remuneratorias retroativastemporarias;1245;2;2;NA;NA;0;;
224;auxilio natalidade;1225;2;33;indenizacoes;NA;1;s;Indenização PL
225;auxilio educacao posgraduacao magistrado;1211;0;1;NA;NA;0;;
226;diferenca de subsidio entrancia superior;1210;0;1;NA;NA;0;;
227;dif aux alimentacao;1176;1;1;NA;NA;0;;
228;vant pessoal ats pa 259712022 inativo;1173;0;1;NA;NA;0;;
229;abono pecuniario ferias magistrados;1171;0;2;NA;NA;0;;
230;abono pecuniario ferias magistrado;1145;0;2;NA;NA;0;;
231;acervo processual 2015 a 2019;1137;0;1;NA;NA;0;;
232;devolucoesacerto financeiro gratificacao por acumulacao de acervo;1116;0;1;NA;NA;0;;
233;juros;1056;0;4;NA;NA;0;;
234;grat diretor de forum;1053;0;1;NA;NA;0;;
235;gratificacao de dificil provimento;1053;0;1;NA;NA;0;;
236;13 abono ec 4103;1051;0;1;NA;NA;0;;
237;outros;1051;0;1;NA;NA;0;;
238;1417 gratificacao de direcao de forum;1031;0;1;NA;NA;0;;
239;grat horaaula;1022;0;1;NA;NA;0;;
240;indenizacoes de ferias;1020;1;1;NA;NA;0;;
241;abono pecuniario de ferias;1014;0;7;NA;NA;0;;
242;ind outros res 092014 tjto gratificacao por exercicio cumulativo;1014;0;1;NA;NA;0;;
243;adicional por tempo de servico;1011;0;1;NA;NA;0;;
244;plantao judiciario pecunia;1007;0;1;NA;NA;0;;
245;dif auxilio preescolar dif auxilioalimentacao;986;0;1;NA;NA;0;;
246;cmjuros;973;0;1;NA;NA;0;;
247;gratpor encargo de licitacao membros titular;945;1;1;NA;NA;0;;
248;correcao monetaria;937;0;3;NA;NA;0;;
249;adicional por tempo de servico magistrado pensao civil;923;0;15;NA;NA;0;;
250;1044 parcela art 95 iiicrfb mag inativo;910;0;1;NA;NA;0;;
251;decisao judicial salario familia;900;0;1;NA;NA;0;;
252;interiorizacao;869;0;1;NA;NA;0;;
253;adicional tempo servico;868;0;1;NA;NA;0;;
254;correcao monetariaat;860;0;1;NA;NA;0;;
255;abono permanencia gratificacao natalina;845;0;1;NA;NA;0;;
256;indeniz serv de comun movel magistrados trt15;841;0;1;NA;NA;0;;
257;gratificacao acumulo de jurisdicao grat natalina;840;0;1;NA;NA;0;;
258;reembolso de despesas medicas dev unimedcusteio dev unimed plano assist medica dev prosercontribuicao mensal;817;0;1;NA;NA;0;;
259;bolsa pos graduacao;813;0;1;NA;NA;0;;
260;cumulacoes;807;1;1;NA;NA;0;;
261;pecunia ferias;806;0;1;NA;NA;0;;
262;indenizacao de licenca premio licenca compensatoria;804;0;1;NA;NA;0;;
263;membros substituicao;789;1;1;NA;NA;0;;
264;abonos;786;1;1;NA;NA;0;;
265;devolucoesacerto financeiro licenca compensatoria;782;0;1;NA;NA;0;;
266;indenizacao de cumulacao art 2 da resolucao 09;781;0;1;NA;NA;0;;
